Commune;Code_Com;Adresse;ID2;X_CC43;Y_CC43;X_WGS84;Y_WGS84
TOULOUSE;31555;CHEMIN DE LA SALADE PONSAN, FACE A LA RUE CAUBERE;448;1575033,485;2264087,878;1,45300697;43,56653994
TOULOUSE;31555;CHEMIN DES MARAICHERS, FACE A LA FAC DE PHARMACIE;453;1575968,134;2264147,274;1,46456121;43,56722880
TOULOUSE;31555;AVENUE DE RANGUEIL, PRES DU TRIPODE B, DANS LE ROND-PONIT;452;1576179,873;2264168,917;1,46717694;43,56745837
TOULOUSE;31555;FAC PAUL SABATIER, A COTE DU FRONTON ET DU GYMNASE;464;1576348,793;2263731,369;1,46936629;43,56354841
TOULOUSE;31555;CHEMIN DE LA PELUDE, ANGLE CHEMIN GIRAUDOUX;450;1575818,539;2264587,516;1,46261001;43,57116609
TOULOUSE;31555;DEVANT LE 75 ROUTE DE NARBONNE;449;1575310,819;2264350,846;1,45637957;43,56895240
TOULOUSE;31555;ANGLE DE LA ROUTE DE NARBONNE, AVENUE DU PROFESSEUR JOSEPH DUCUING;454;1575632,345;2263698,533;1,46050706;43,56313507
TOULOUSE;31555;9 BIS RUE MANSENCAL;537;1577276,728;2266269,788;1,48028199;43,58654432
TOULOUSE;31555;CHEMIN D'AUZEVILLE, FACE A L'ARRET DE BUS ESTEREL;460;1575205,507;2261606,992;1,45570049;43,54424185
TOULOUSE;31555;ANGLE CHEMIN ET RUE DE FONDEVILLE;459;1575345,698;2262176,982;1,45730542;43,54939464
TOULOUSE;31555;CHEMIN DE NARRADE, FACE A LA RUE MAURICE ALET;458;1575137,602;2262238,717;1,45471659;43,54991580
TOULOUSE;31555;CHEMIN DU VALLON, ANGLE RUE DARDAGNA;456;1575247,620;2263088,408;1,45588459;43,55758075
TOULOUSE;31555;CHEMIN DE LA SALADE PONSAN, PASSERELLE FAC DE MEDECINE;455;1575360,265;2263378,468;1,45721261;43,56020975
TOULOUSE;31555;PARKING DU STADE BARRAN, CHEMIN DES COTES DE PECH DAVID;447;1574611,062;2263582,024;1,44789455;43,56191743
TOULOUSE;31555;ENTRE LE 7 ET LE 9 RUE PONS-CAPDENIER;551;1578078,759;2265658,927;1,49034754;43,58117708
