ID;NOM;X_CC43;Y_CC43;X_WGS84;Y_WGS84
1;ARENES;1572284,543;2267055,150;1,41829354;43,59278266
2;ZENITH;1571575,178;2267306,867;1,40945141;43,59492738
3;CARTOUCHERIE;1571741,949;2267973,894;1,41136018;43,60095850
4;CASSELARDIT;1571390,506;2268268,907;1,40693887;43,60355348
5;PURPAN;1571004,387;2268853,773;1,40201945;43,60875079
6;ARENES ROMAINES;1570715,809;2269452,186;1,39830414;43,61408654
11;PLACE DU RELAIS;1570094,503;2271980,832;1,39000838;43,63673516
7;ANCELY;1570612,056;2269972,977;1,39689595;43,61875539
8;SERVANTY AIRBUS;1570349,709;2270730,018;1,39346693;43,62552298
9;GUYENNE BERRY;1570221,793;2271321,422;1,39174200;43,63082304
12;ODYSSUD RITOURET;1569717,092;2271932,638;1,38534355;43,63623627
13;PATINOIRE BARRADELS;1569503,787;2272409,492;1,38258684;43,64049057
14;GRAND NOBLE;1569120,990;2272880,183;1,37773087;43,64465989
15;PLACE GEORGES BRASSENS;1568959,823;2273316,170;1,37562919;43,64855530
16;ANDROMEDE LYCEE;1568813,623;2274004,844;1,37365211;43,65472720
17;BEAUZELLE;1568492,712;2274623,485;1,36952586;43,66023832
18;AEROCONSTELLATION;1567943,229;2274988,025;1,36262682;43,66342260
10;PASTEUR MAIRIE DE BLAGNAC;1570192,602;2271709,937;1,39128817;43,63431428
