nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
MONUMENT AUX COMBATTANTS;23;24;O;O;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);6;3105555132;Toulouse;31555;1575029,804;2267951,232;1,45208030;43,60130697
QUAI DE TOUNIS;27;22;O;O;QU DE TOUNIS;TOUNIS (QU DE TOUNIS);122B;3105558520;Toulouse;31555;1574082,159;2267717,421;1,44039892;43,59904509
LAFAYETTE;2;22;O;O;RUE LAFAYETTE;LAFAYETTE (RUE LAFAYETTE);21;3105554920;Toulouse;31555;1574488,513;2268358,298;1,44528393;43,60488031
PLACE SAINT ETIENNE;24;20;O;O;PL SAINT ETIENNE;ETIENNE (PL SAINT ETIENNE);14;3105557756;Toulouse;31555;1574804,298;2267818,812;1,44931802;43,60007786
PLACE ROUAIX;25;17;O;O;RUE DES TOURNEURS;TOURNEURS (RUE DES TOURNEURS);1;3105558536;Toulouse;31555;1574492,721;2267762,874;1,44547250;43,59952263
CAPTAINERIE PORT  - ST SAUVEUR;101;20;O;N;PORT SAINT SAUVEUR;SAUVEUR (PORT SAINT SAUVEUR);5;3105558066;Toulouse;31555;1575323,606;2267202,395;1,45588907;43,59461663
PLACE DE LA DAURADE;11;28;O;O;PL DE LA DAURADE;DAURADE (PL DE LA DAURADE);2;3105552520;Toulouse;31555;1574024,363;2267959,896;1,43962745;43,60121754
PLACE DUPUY;43;22;O;O;PL DOMINIQUE MARTIN DUPUY;DUPUY (PL DOMINIQUE MARTIN DUPUY);14;3105552828;Toulouse;31555;1575246,286;2267821,583;1,45479064;43,60017610
DAURIAC - ESCANDE;42;23;O;O;BD PR LEOPOLD ESCANDE;ESCANDE (BD PR LEOPOLD ESCANDE);3;3105557151;Toulouse;31555;1575353,450;2267981,274;1,45608134;43,60163093
POMME;3;19;O;O;RUE DE LA POMME;POMME (RUE DE LA POMME);62;3105556988;Toulouse;31555;1574503,296;2268179,048;1,44550808;43,60326965
CARNOT - LABEDA;21;22;O;O;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);63;3105555132;Toulouse;31555;1574879,960;2268262,036;1,45015369;43,60407912
VERDIER - GRAND ROND;65;27;O;O;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);2;3105553396;Toulouse;31555;1575067,000;2267455,571;1,45265399;43,59685254
JARDIN ROYAL;66;23;O;O;RUE DU HUIT MAI 1945;MAI 1945 (RUE DU HUIT MAI 1945);0;3105554272;Toulouse;31555;1574926,877;2267414,210;1,45092834;43,59645708
FEUGA;69;20;O;O;ALL PAUL FEUGA;FEUGA (ALL PAUL FEUGA);11;3105556620;Toulouse;31555;1574290,879;2267004,129;1,44314721;43,59266083
OZENNE - NAZARETH;45;19;O;O;RUE THEODORE OZENNE;OZENNE (RUE THEODORE OZENNE);10;3105556448;Toulouse;31555;1574619,806;2267400,846;1,44712909;43,59628579
CHATEAU D EAU;75;21;O;O;PL LAGANNE;LAGANNE (PL LAGANNE);12;3105554944;Toulouse;31555;1573781,764;2267658,332;1,43669274;43,59846309
LAGANNE - TEINTURIERS;74;18;O;N;RUE LAGANNE;LAGANNE (RUE LAGANNE);37;3105554948;Toulouse;31555;1573741,267;2267459,548;1,43623710;43,59666739
JARDIN RAYMOND VI;81;33;O;N;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);76;3105551920;Toulouse;31555;1573201,450;2267828,084;1,42946749;43,59989331
LASCROSSES -  LECLERC;87;26;O;N;BD LASCROSSES;LASCROSSES (BD LASCROSSES);47;3105555080;Toulouse;31555;1573426,650;2268862,046;1,43201717;43,60923604
HOTEL DE POLICE;123;15;O;N;RUE DE CHAUSSAS;CHAUSSAS (RUE DE CHAUSSAS);1;3105551996;Toulouse;31555;1573510,935;2269499,719;1,43291371;43,61498875
