Commune;Code_Com;Adresse;ID;DMT_TYPE;X_CC43;Y_CC43;X_WGS84;Y_WGS84
TOULOUSE;31555;PLACE DU SALIN;18;DMT_EMBALLAGE;1574402,151;2267236,410;1,44447169;43,59476974
TOULOUSE;31555;BLD D'ARCOLE  (Ecole du Nord);38;DMT_EMBALLAGE;1574146,064;2269055,566;1,44088270;43,61109808
TOULOUSE;31555;PLACE ANATOLE France;13;DMT_EMBALLAGE;1573947,075;2268533,104;1,43853841;43,60636305
TOULOUSE;31555;RUE DU PONT MONTAUDRAN (côté place Dupuy);15;DMT_EMBALLAGE;1575339,423;2267646,090;1,45598393;43,59861220
TOULOUSE;31555;BLD DE STRASBOURG / RUE ST BERNARD;33;DMT_EMBALLAGE;1574448,504;2268867,615;1,44467166;43,60945712
TOULOUSE;31555;BLD DE STRASBOURG  / PLACE V. HUGO;34;DMT_EMBALLAGE;1574614,298;2268638,772;1,44677746;43,60742531
TOULOUSE;31555;RUE PEYROLIERES / RUE DE METZ;40;DMT_EMBALLAGE;1574145,426;2267807,038;1,44116177;43,59986216
TOULOUSE;31555;RUE DES PRETRES (CARMES);41;DMT_EMBALLAGE;1574388,287;2267512,121;1,44423680;43,59724863
TOULOUSE;31555;PLACE DUPUY;42;DMT_EMBALLAGE;1575249,691;2267828,729;1,45483118;43,60024097
TOULOUSE;31555;PLACE ST AUBIN;16;DMT_EMBALLAGE;1575251,790;2268170,856;1,45477923;43,60332021
TOULOUSE;31555;PLACE ST JACQUES;2;DMT_EMBALLAGE;1574961,322;2267548,506;1,45132420;43,59767136
TOULOUSE;31555;PLACE DE LA DAURADE;23;DMT_EMBALLAGE;1574027,941;2268002,924;1,43966187;43,60160536
TOULOUSE;31555;PLACE ROQUELAINE;19;DMT_EMBALLAGE;1574731,785;2269210,632;1,44810165;43,61259116
TOULOUSE;31555;PLACE SAINT PIERRE;39;DMT_EMBALLAGE;1573752,843;2268206,011;1,43620836;43,60338695
TOULOUSE;31555;BLD ARMAND DUPORTAL / ALLEE DE BARCELONE;22;DMT_EMBALLAGE;1573634,573;2268327,063;1,43471579;43,60445650
TOULOUSE;31555;RUE DE METZ / RUE DES MARCHANDS;12;DMT_EMBALLAGE;1574278,046;2267830,196;1,44279870;43,60009270
TOULOUSE;31555;AVENUE MAURICE HAURIOU;14;DMT_EMBALLAGE;1574144,790;2267161,758;1,44130216;43,59405499
TOULOUSE;31555;RUE RAYMOND IV / RUE CHEVREUL;43;DMT_EMBALLAGE;1574988,835;2269175,969;1,45129333;43,61232191
TOULOUSE;31555;BLD D'ARCOLE ( n°40 ) / RUE DE LA BALANCE;27;DMT_EMBALLAGE;1574034,878;2269113,390;1,43949230;43,61159987
TOULOUSE;31555;BLD D'ARCOLE / RUE DES CHALETS;20;DMT_EMBALLAGE;1574293,042;2269032,154;1,44270847;43,61091192
TOULOUSE;31555;AVENUE DE LA GARONNETTE;44;DMT_EMBALLAGE;1574109,715;2267645,859;1,44075659;43,59840570
TOULOUSE;31555;PLACE SAINTE SCARBES;45;DMT_EMBALLAGE;1574744,733;2267582,017;1,44863456;43,59793698
TOULOUSE;31555;BLD CARNOT / PLACE ROLAND;7;DMT_EMBALLAGE;1574960,252;2268190,227;1,45116443;43,60344622
TOULOUSE;31555;BLD CARNOT FACE N°10;11;DMT_EMBALLAGE;1575024,164;2267985,187;1,45200271;43,60161161
TOULOUSE;31555;ALLEES JULES GUESDE / RUE OZENNE;21;DMT_EMBALLAGE;1574756,701;2267210,038;1,44886783;43,59459141
